,PropertyId,Url,Address,Price,Description,PropertyType,Bedrooms,Bathrooms,FurnishedType,ListingDate,PetFriendly,Smokers,Gardens,Parking,LetAvailableDate,Deposit,Geolocation,latitude,longitude
0,0,https://www.rightmove.co.uk/properties/132299816#/?channel=RES_LET,Park Street London SW6,5416.0,"A spacious three double bedroom apartment in the stylish Compass House one of the buildings forming the popular Chelsea Creek development in Fulham. This stunning 1,236 sq ft approx property is located on the sixth floor and benefits from fitted wardrobes, a spacious open plan reception room with access to a private terrace, an integrated kitchen, a luxury bathroom suite, under floor heating, wood flooring, an integrated surround sound system, large utility/storage cupboard and comfort cooling system. Residents have exclusive use of a state of the art leisure suite with swimming pool, spa and gym as well as a 24 hour concierge. There are many local amenities close by and Imperial Wharf Station is only moments away. A river taxi service is also available from nearby Chelsea Harbour. Chelsea Creek is located only a short distance from the amenities of the Kings Road, and moments from Imperial Wharf station. Brochures Property details Read more",Flat,3.0,2.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Now,6250.0,"(51.4752253, -0.1844493)",51.4752253,-0.1844493
1,1,https://www.rightmove.co.uk/properties/134394587#/?channel=RES_LET,"Discovery Dock Apartments East, 2 South Quay Square, E14",2600.0,"A large, furnished two bedroom apartment, available to rent now. 24 hour portered block with gym and swimming pool for residents use, just a five minute walk from the centre of Canary Wharf.   The en-suite bathroom has a shower, and bathroom 2 has a shower over the bath.  The master bedroom has ample, built in cupboard space, with bedroom 2 being a good size double room.   A dedicated management team is also available 24/7 for any emergencies and assistance that you may require.  In the immediate area you have plenty of restaurants and bars, and grocery stores, all within a minute or so of the building.  A short walk takes you straight in to the centre of Canary Wharf for the commercial centre, the Jubilee line and the retail centre which is open 7 days a week. There is a requirement of a 5 week (rent equivalent under £50,000 per annum) deposit for new and renewed tenancies (or 6 weeks if the annual rent is £50,000 or more). For more information about our fees please visit our web-site's 'Tenant Fees' page located under the Rent tab  CBRE Limited on its behalf and for the Vendors or Lessors of this property whose Agents they are, give notice that: 1. These particulars are set out as a general outline only for guidance to intending Purchasers or Lessees, and do not constitute any part of an offer or contract.   2.Whilst CBRE Limited uses reasonable endeavours to ensure that the information in these particulars is materially correct, some of the information is derived from third parties and has not been verified by us. Any intending Purchasers, Lessees or Third Parties should not rely on this information as a statement or representation of fact, but must satisfy themselves by their own inspection, searches, enquiries, surveys or otherwise as to the accuracy and completeness. 3. To the maximum extent permitted by law CBRE Limited accepts no liability or responsibility for any loss or damage including without limitation, indirect or consequential loss or damage, or any loss of profits resulting from direct or indirect actions based upon the content of these particulars. No person in the employment of CBRE Limited has any authority to make any representation or warranty whatsoever in relation to this property. 4. Unless otherwise stated, all purchase prices and rents are correct at the date of publication and, unless otherwise stated,  are quoted exclusive of VAT.  Lease details and service ground rent (where applicable) are given as a guide only and should be checked and confirmed by your solicitor prior to exchange of contracts. Read more",Apartment,2.0,2.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,0.0,"(51.50617106206896, -0.0182658896551724)",51.50617106206896,-0.0182658896551724
2,2,https://www.rightmove.co.uk/properties/86201319#/?channel=RES_LET,Waterside Heights,2200.0,"Citywharf is glad to present the stunning a two bedroom apartment on the fourth floor of the impressive Waterside Park development in Royal Docks.  This furnished apartment includes an inviting living and dining area with water views, fitted kitchen with integrated appliances, wood flooring, full length windows, fitted bedroom storage, tiled bathroom suite, a private balcony with views overlooking the Thames. Residents will also have access to a 24 hour concierge service and gym. There are amenities located nearby including shops, cafés, restaurants and Thames Barrier Park. The development is located near Pontoon Dock DLR station, providing a valuable transport link for commutes towards Canary Wharf and the City. Another bedroom can turn into a study room. Council Tax Band: A Holding Deposit: £600 Brochures Brochure Read more",Apartment,2.0,1.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Now,3000.0,"(52.38244075, -1.8345239161200397)",52.38244075,-1.83452391612004
3,3,https://www.rightmove.co.uk/properties/137177039#/?channel=RES_LET,"Park Road, St John's Wood, London, NW8",4182.0,"LONG LET. This bright and airy 2 bedroom apartment boasts well proportioned interiors and a superb location opposite Regent's Park and an on-site Concierge. Situated in a prime location close to the green expanses and boating lake of Regent's Park and providing easy access to Marylebone and the West End, the property is ideally placed. The boutiques, cafes and restaurants of St John's Wood are also nearby.  Please use the reference CHPK2082034 when contacting Foxtons. Brochures Property details Super sized images Read more",Flat,2.0,1.0,Unfurnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,4825.0,"(51.5335076, -0.16983245438030842)",51.5335076,-0.1698324543803084
4,4,https://www.rightmove.co.uk/properties/137177042#/?channel=RES_LET,"Cecil Grove, St John's Wood, London, NW8",4550.0,"LONG LET. A stunning 2 bedroom split level flat boasting bright and modern accommodation throughout, a private entrance and lovely patio gardens. The property is situated moments from a range of shops and amenities that can be found in St Johns Wood while the green open spaces of Regents Park are also within close proximity.  Please use the reference CHPK4922910 when contacting Foxtons. Brochures Property details Super sized images Read more",Flat,2.0,2.0,Unfurnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,5250.0,"(51.53222551768869, -0.1744123372641509)",51.53222551768869,-0.1744123372641509
5,5,https://www.rightmove.co.uk/properties/137177006#/?channel=RES_LET,"Wick Lane, Bow, London, E3",3750.0,"SHORT LET. Set on the 7th floor, this 2 bedroom apartment boasts stunning accommodation including a large open-plan reception room, a modern kitchen and a delightful private Balcony with views over the City. The property is ideally located moments from the vibrant Roman Road which is host to a range of fantastic amenities.  Please use the reference CHPK3667017 when contacting Foxtons. Brochures Property details Super sized images Read more",Flat,2.0,2.0,Ask agent,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,866.0,"(51.53388, -0.0220841)",51.53388,-0.0220841
6,6,https://www.rightmove.co.uk/properties/136801646#/?channel=RES_LET,"Sherwood Avenue, Streatham, London, SW16",2450.0,"LONG LET. This beautifully presented 3 bedroom house is arranged over 2 floors, boasting a bright dining room, spacious reception room, 3 well-sized bedrooms, and large private garden. Conveniently located a short walk from Streatham Common Station (Railway), the property also benefits from its close proximity to the beautiful and picturesque Streatham Common.  Please use the reference CHPK0382177 when contacting Foxtons. Brochures Property details Super sized images Read more",Semi-Detached,3.0,1.0,"Furnished or unfurnished, landlord is flexible",,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,2827.0,"(51.4140014, -0.1339065)",51.4140014,-0.1339065
7,7,https://www.rightmove.co.uk/properties/137176997#/?channel=RES_LET,"Chelsea Embankment, London, SW3",2708.0,"A stunning one bedroom apartment located on the fourth floor (with lift) of this listed period building situated at the south end of Tite Street in Chelsea.   The apartment offers excellent space with  high ceilings and has the added benefit of a study / dining area. The reception room has French doors offering  direct access to a private BALCONY overlooking the River Thames.   Day Time Porter . Unfurnished, 719 sq ft.  Available end July Read more",Apartment,1.0,,Unfurnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,18/07/2023,0.0,"(51.4835006, -0.1671558)",51.4835006,-0.1671558
8,8,https://www.rightmove.co.uk/properties/137176979#/?channel=RES_LET,"Edgware Road, Hyde Park Square, London, W2",4485.0,"LONG LET. Situated just north of Marble Arch and Oxford Street, this fantastic 3 bedroom 6th floor apartment combines spacious living with close proximity to a wide range of amenities, parks and sights. A variety of shops, cafes and restaurants are readily available along Edgware Road, with a more comprehensive selection of commercial facilities just moments away on Oxford Street. Marble Arch Station and Hyde Park are moments away.  Please use the reference CHPK2266095 when contacting Foxtons. Brochures Property details Super sized images Read more",Flat,3.0,2.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,5175.0,"(51.51506800970017, -0.1860510335097001)",51.51506800970017,-0.1860510335097001
9,9,https://www.rightmove.co.uk/properties/137176880#/?channel=RES_LET,"Fulham Palace Road, Bishop's Park, London, SW6",3900.0,"SHORT LET. Gorgeous 2 bedroom flat, set on the 2nd floor, offering a spacious reception room, sleek open-plan kitchen, 2 excellent bedrooms and a shower room. Ideally located moments from the River, this flat is also close to the array of shops, restaurants and amenities of Fulham Road, with Putney Bridge Underground being the nearest underground station station.  Please use the reference CHPK4092119 when contacting Foxtons. Brochures Property details Super sized images Read more",Flat,2.0,1.0,Ask agent,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,900.0,"(51.47659251293962, -0.2011390132714001)",51.47659251293962,-0.2011390132714001
